Rp1	Rp1
Sox17	Sox17
Mrpl15	Mrpl15
Lypla1	Lypla1
Tcea1	Tcea1
Atp6v1h	Atp6v1h
Rb1cc1	Rb1cc1
Pcmtd1	Pcmtd1
Sntg1	Sntg1
Rrs1	Rrs1
Adhfe1	Adhfe1
2610203C22Rik	2610203C22Rik
Mybl1	Mybl1
Vcpip1	Vcpip1
Sgk3	Sgk3
6030422M02Rik	6030422M02Rik
Snhg6	Snhg6
Cops5	Cops5
Cspp1	Cspp1
Arfgef1	Arfgef1
Prex2	Prex2
Sulf1	Sulf1
Slco5a1	Slco5a1
Ncoa2	Ncoa2
Tram1	Tram1
Lactb2	Lactb2
Gm5523	Gm5523
Eya1	Eya1
Msc	Msc
Terf1	Terf1
Gm106	Gm106
Rpl7	Rpl7
Rdh10	Rdh10
Stau2	Stau2
Ube2w	Ube2w
Tceb1	Tceb1
Tmem70	Tmem70
Ly96	Ly96
Jph1	Jph1
Pi15	Pi15
Crispld1	Crispld1
Mcm3	Mcm3
6720483E21Rik	6720483E21Rik
Paqr8	Paqr8
Efhc1	Efhc1
Tram2	Tram2
Tmem14a	Tmem14a
Gsta3	Gsta3
Gm4956	Gm4956
Ogfrl1	Ogfrl1
Smap1	Smap1
1110058L19Rik	1110058L19Rik
Fam135a	Fam135a
Lmbrd1	Lmbrd1
Phf3	Phf3
Ptp4a1	Ptp4a1
Prim2	Prim2
Rab23	Rab23
Bag2	Bag2
Zfp451	Zfp451
Gm15455	Gm15455
Bend6	Bend6
Dst	Dst
Ccdc115	Ccdc115
Imp4	Imp4
Ptpn18	Ptpn18
Arhgef4	Arhgef4
Fam168b	Fam168b
Plekhb2	Plekhb2
Hs6st1	Hs6st1
Uggt1	Uggt1
Neurl3	Neurl3
Arid5a	Arid5a
4632411B12Rik	4632411B12Rik
Lman2l	Lman2l
Cnnm4	Cnnm4
Cnnm3	Cnnm3
Ankrd23	Ankrd23
Ankrd39	Ankrd39
Sema4c	Sema4c
Fam178b	Fam178b
Cox5b	Cox5b
Actr1b	Actr1b
Zap70	Zap70
Tmem131	Tmem131
Inpp4a	Inpp4a
6330578E17Rik	6330578E17Rik
Unc50	Unc50
Mgat4a	Mgat4a
4930594C11Rik	4930594C11Rik
2010300C02Rik	2010300C02Rik
Tsga10	Tsga10
Lipt1	Lipt1
Mitd1	Mitd1
Mrpl30	Mrpl30
Txndc9	Txndc9
Eif5b	Eif5b
Rev1	Rev1
