gene,cluster,rank
S100A12,1,1
S100A8,1,2
CXCL3,1,3
FCN1,1,4
S100A9,1,5
CXCL8,1,6
LYZ,1,7
EREG,1,8
C1QB,1,9
IL1B,1,10
SMIM25,1,11
G0S2,1,12
SERPINA1,1,13
CST3,1,14
VMO1,1,15
CXCL2,1,16
SCT,1,17
MAFB,1,18
APOBEC3A,1,19
LYPD2,1,20
C1QA,1,21
CLEC10A,1,22
CCL3,1,23
MS4A7,1,24
GP9,1,25
CCL4,1,26
FCER1G,1,27
F13A1,1,28
HMOX1,1,29
LST1,1,30
LILRA4,1,31
IGLV3-25,1,32
TREML1,1,33
CCL20,1,34
HLA-DRA,1,35
CD1C,1,36
SERPINF1,1,37
HLA-DRB1,1,38
FCER1A,1,39
FTL,1,40
PSAP,1,41
HLA-DRB5,1,42
HLA-DQA2,1,43
IGLV3-21,1,44
PF4,1,45
IGHV5-51,1,46
IGKV2D-28,1,47
GP1BA,1,48
TUBB1,1,49
ITGA2B,1,50
IGLV1-51,1,51
TMEM40,1,52
LRRC26,1,53
CMTM5,1,54
CLDN5,1,55
HLA-DQB1,1,56
IGHV4-39,1,57
HLA-DQA1,1,58
CD9,1,59
CAVIN2,1,60
CKB,1,61
MYL9,1,62
PRSS57,1,63
CCDC50,1,64
HLA-DPA1,1,65
IGHV3-66,1,66
SPARC,1,67
IGKV1-8,1,68
PPBP,1,69
IRF8,1,70
IGHV3-48,1,71
TRBV7-6,1,72
HLA-DPB1,1,73
AC233755.2,1,74
IGHV1-18,1,75
IGHV3-20,1,76
PTCRA,1,77
IGHV3-30,1,78
CDKN1C,1,79
IGHV4-61,1,80
IGKV1-5,1,81
HBB,1,82
IGLV2-5,1,83
CD74,1,84
IGHV3-53,1,85
IGLC3,1,86
CLEC4C,1,87
IGLV2-23,1,88
FCGR3A,1,89
IGLV2-8,1,90
PLD4,1,91
CLU,1,92
GNG11,1,93
IGKV2-30,1,94
TCL1A,1,95
IGLV2-14,1,96
IGHV1-2,1,97
IGKV1D-39,1,98
LMNA,1,99
IGLV4-69,1,100
TPM2,1,101
IGLV1-40,1,102
TRBV7-2,1,103
IGHV3-7,1,104
IGHV1-69,1,105
TRBV6-6,1,106
IGKV3-15,1,107
IRF7,1,108
IGHD,1,109
IGHM,1,110
IGKV1-9,1,111
CLIC3,1,112
XCL2,1,113
IGHV2-5,1,114
TRBV7-9,1,115
TRBV12-4,1,116
IGKC,1,117
IGKV3-11,1,118
IGKV1-16,1,119
GZMB,1,120
SPON2,1,121
TRBV5-6,1,122
IGLV2-11,1,123
JCHAIN,1,124
IGHA1,1,125
TRBV14,1,126
IGLV1-47,1,127
TRAV20,1,128
TNF,1,129
IGHV3-33,1,130
IGHV3-74,1,131
TRBV19,1,132
TRBV5-1,1,133
TRBV7-3,1,134
IGHV7-4-1,1,135
MS4A1,1,136
IGHV3-21,1,137
IGLV1-44,1,138
TCL1B,1,139
TRBV9,1,140
TRBV6-2,1,141
IGLC2,1,142
IGLV3-1,1,143
TRBV6-1,1,144
MZB1,1,145
IGLV1-41,1,146
IGLV3-19,1,147
TXNDC5,1,148
TRBV20-1,1,149
TRBV2,1,150
DERL3,1,151
MTRNR2L12,1,152
TSC22D1,1,153
IGHV4-59,1,154
IGHV1-3,1,155
TRBV6-5,1,156
MPIG6B,1,157
IGHV3-15,1,158
IGKV4-1,1,159
TRBV21-1,1,160
AC233755.1,1,161
IGHV4-34,1,162
TRBV10-3,1,163
GZMH,1,164
TRBV11-2,1,165
TRDV2,1,166
FOXP3,1,167
IGHV1-46,1,168
IGKV3-20,1,169
IGLV7-46,1,170
XCL1,1,171
IGHV1-69D,1,172
TRBV18,1,173
CD79A,1,174
GNLY,1,175
TRBV4-2,1,176
NKG7,1,177
IGHV3-11,1,178
TRBV5-4,1,179
PTGDS,1,180
IGLV3-10,1,181
TRAV8-1,1,182
IGKV2-24,1,183
CD8A,1,184
IGHA2,1,185
IGHV4-4,1,186
TRAV41,1,187
LINC02446,1,188
TNFRSF17,1,189
TRBV6-4,1,190
TRDV3,1,191
TRBV12-3,1,192
TRAV12-1,1,193
CCL5,1,194
STMN1,1,195
IGHV4-28,1,196
IGHV3-13,1,197
TRBV3-1,1,198
TRAV5,1,199
CD8B,1,200
KLRD1,1,201
TRBV29-1,1,202
IGKV2-29,1,203
ZNF683,1,204
PRF1,1,205
ITM2C,1,206
S100B,1,207
IGKV1D-13,1,208
FGFBP2,1,209
TRAV38-2DV8,1,210
CST7,1,211
TRBV28,1,212
KLRC1,1,213
TRBV13,1,214
CTSW,1,215
IGHV4-31,1,216
IGHV3-23,1,217
TRAV19,1,218
TRBV24-1,1,219
TRAV14DV4,1,220
TRAV12-2,1,221
TRBV27,1,222
GZMA,1,223
TRAV30,1,224
TRAV38-1,1,225
TRAV10,1,226
TRAV3,1,227
KLRB1,1,228
TRBV5-5,1,229
TRAV29DV5,1,230
TRAV26-2,1,231
TRBV15,1,232
IFNG,1,233
TRAV27,1,234
TRBV25-1,1,235
TRAV23DV6,1,236
TRDC,1,237
TRAV9-2,1,238
TRBV23-1,1,239
TRDV1,1,240
TRBV30,1,241
TRBV4-1,1,242
TRAV12-3,1,243
TRAV8-4,1,244
TRAV21,1,245
TRGV10,1,246
TRAV13-1,1,247
GZMK,1,248
TRAV16,1,249
TRAV39,1,250
IGKV1D-13,2,1
IGHV3-33,2,2
IGHV3-13,2,3
IGHV3-48,2,4
IGHV3-11,2,5
IGHV3-20,2,6
IGHV3-21,2,7
IGKV2-30,2,8
IGHV4-39,2,9
IGHV3-53,2,10
IGKV2-29,2,11
IGHV3-23,2,12
IGHV3-15,2,13
IGHV1-69D,2,14
IGHV3-74,2,15
IGHV3-30,2,16
TCL1B,2,17
IGKV1-8,2,18
IGKV4-1,2,19
IGLV2-5,2,20
IGKV1D-39,2,21
AC233755.1,2,22
AC233755.2,2,23
IGLV3-25,2,24
IGHV4-59,2,25
IGHV7-4-1,2,26
IGHV5-51,2,27
IGKV3-20,2,28
IGLV4-69,2,29
IGKV1-9,2,30
IGHV1-46,2,31
IGHV1-69,2,32
IGKV3-11,2,33
IGLV3-10,2,34
IGHV4-61,2,35
IGHV2-5,2,36
TCL1A,2,37
IGKV2D-28,2,38
IGHV1-2,2,39
IGHV4-4,2,40
IGHV3-66,2,41
IGLV3-21,2,42
IGHV4-31,2,43
IGLV2-8,2,44
IGKV3-15,2,45
IGLV1-47,2,46
IGKV1-5,2,47
IGLV2-11,2,48
MS4A1,2,49
IGHD,2,50
IGLV2-23,2,51
IGHV1-18,2,52
IGLV1-40,2,53
IGLV1-41,2,54
IGKV1-16,2,55
IGLV7-46,2,56
IGHV4-28,2,57
IGLV3-1,2,58
HLA-DQA1,2,59
CD79A,2,60
IGLV1-51,2,61
IGLV2-14,2,62
IGKV2-24,2,63
IGKC,2,64
IGHM,2,65
IGHV1-3,2,66
IGHV4-34,2,67
TNFRSF17,2,68
IGHA2,2,69
IGLC2,2,70
IGHV3-7,2,71
HLA-DQA2,2,72
IGLV3-19,2,73
HLA-DRA,2,74
HLA-DQB1,2,75
JCHAIN,2,76
PLD4,2,77
CD1C,2,78
IGLV1-44,2,79
HLA-DPA1,2,80
HLA-DRB5,2,81
HLA-DRB1,2,82
IGHA1,2,83
HLA-DPB1,2,84
DERL3,2,85
LRRC26,2,86
MZB1,2,87
CD74,2,88
IRF8,2,89
LILRA4,2,90
CLEC4C,2,91
IGLC3,2,92
SERPINF1,2,93
CCDC50,2,94
ITM2C,2,95
TRBV5-5,2,96
MPIG6B,2,97
CD9,2,98
GNG11,2,99
TXNDC5,2,100
TRBV4-1,2,101
C1QB,2,102
TRBV23-1,2,103
SCT,2,104
STMN1,2,105
GZMB,2,106
ZNF683,2,107
HMOX1,2,108
HBB,2,109
FCER1A,2,110
VMO1,2,111
PTCRA,2,112
MTRNR2L12,2,113
TRBV2,2,114
TRAV13-1,2,115
TRBV13,2,116
GZMH,2,117
CLEC10A,2,118
TRBV5-4,2,119
IRF7,2,120
ITGA2B,2,121
TMEM40,2,122
TRBV3-1,2,123
MYL9,2,124
TUBB1,2,125
FGFBP2,2,126
PRSS57,2,127
FCGR3A,2,128
TRAV14DV4,2,129
MS4A7,2,130
TRAV19,2,131
TRAV12-3,2,132
LYPD2,2,133
SPARC,2,134
TRAV38-2DV8,2,135
TSC22D1,2,136
TRAV23DV6,2,137
TPM2,2,138
TRAV8-4,2,139
TRBV11-2,2,140
PPBP,2,141
PTGDS,2,142
KLRD1,2,143
TRBV4-2,2,144
SPON2,2,145
CD8B,2,146
TRAV39,2,147
CST7,2,148
TRBV12-3,2,149
TRAV30,2,150
TRBV19,2,151
FOXP3,2,152
TRDV2,2,153
TRAV41,2,154
LINC02446,2,155
PRF1,2,156
CLU,2,157
TRAV26-2,2,158
PF4,2,159
TRAV16,2,160
TRBV30,2,161
TRBV15,2,162
TRAV29DV5,2,163
MAFB,2,164
CCL4,2,165
TRAV5,2,166
FTL,2,167
CKB,2,168
TRBV29-1,2,169
TRBV18,2,170
TRBV20-1,2,171
TRAV10,2,172
TRAV9-2,2,173
CCL3,2,174
TRAV3,2,175
TRBV6-2,2,176
TRAV21,2,177
TRBV12-4,2,178
CAVIN2,2,179
CST3,2,180
GZMK,2,181
CXCL2,2,182
TRAV27,2,183
PSAP,2,184
TRBV6-4,2,185
TRBV6-5,2,186
FCER1G,2,187
TRBV10-3,2,188
CLIC3,2,189
CMTM5,2,190
TRBV5-6,2,191
TRBV9,2,192
TRBV14,2,193
CXCL3,2,194
TRBV25-1,2,195
S100B,2,196
LST1,2,197
TNF,2,198
TRBV27,2,199
CD8A,2,200
EREG,2,201
TRGV10,2,202
APOBEC3A,2,203
TRAV38-1,2,204
TRBV28,2,205
CLDN5,2,206
TRDV3,2,207
