,gene,cluster,rank
0,Fabp4,0,0
1,Cd36,0,1
2,Ly6c1,0,2
3,Tspan13,0,3
4,Cdh5,0,4
5,Cav1,0,5
6,Sdpr,0,6
7,Gng11,0,7
8,Egfl7,0,8
9,Cav2,0,9
10,Slc9a3r2,0,10
11,Mgll,0,11
12,Gpihbp1,0,12
13,Ly6a,0,13
14,1190002H23Rik,0,14
15,Lims2,0,15
16,Cd300lg,0,16
17,Jam2,0,17
18,Tspan7,0,18
19,Ly6e,0,19
20,Dpt,1,0
21,Dcn,1,1
22,Gsn,1,2
23,Col1a2,1,3
24,Col3a1,1,4
25,Timp2,1,5
26,Htra3,1,6
27,Plac9,1,7
28,Ccdc80,1,8
29,Col1a1,1,9
30,Lum,1,10
31,Lhfp,1,11
32,Cygb,1,12
33,Bgn,1,13
34,Loxl1,1,14
35,Rnase4,1,15
36,Pdgfra,1,16
37,Igfbp4,1,17
38,Serping1,1,18
39,Lrp1,1,19
40,Ctsh,2,0
41,Tmem176b,2,1
42,Ftl1,2,2
43,Pla2g7,2,3
44,Fcer1g,2,4
45,C1qb,2,5
46,C1qa,2,6
47,Trf,2,7
48,Lyz2,2,8
49,Lyz1,2,9
50,Ctss,2,10
51,C1qc,2,11
52,Tyrobp,2,12
53,Csf1r,2,13
54,Alox5ap,2,14
55,Apoe,2,15
56,Hexa,2,16
57,Fcgr3,2,17
58,Laptm5,2,18
59,Sepp1,2,19
60,Mb,3,0
61,Myl4,3,1
62,Cox6a2,3,2
63,Cox7a1,3,3
64,Chchd10,3,4
65,Uqcr11,3,5
66,Uqcr10,3,6
67,Myl7,3,7
68,Cox8b,3,8
69,Sln,3,9
70,Atp5b,3,10
71,Actc1,3,11
72,Atp5g1,3,12
73,Nppa,3,13
74,Tnni3,3,14
75,Tnnc1,3,15
76,Tnnt2,3,16
77,Cox7c,3,17
78,Cryab,3,18
79,Cox6c,3,19
80,Rpl13a,4,0
81,Rps15a,4,1
82,Rps13,4,2
83,Rps27,4,3
84,Rpl37a,4,4
85,Rpl27,4,5
86,Uba52,4,6
87,Rpsa,4,7
88,Rps3,4,8
89,Rps18,4,9
90,Rps11,4,10
91,Rps16,4,11
92,Rps24,4,12
93,Rps7,4,13
94,Rps23,4,14
95,Rps14,4,15
96,Shisa5,4,16
97,Rplp2,4,17
98,Rps10,4,18
99,Eef1a1,4,19
100,Cald1,5,0
101,Cox8a,5,1
102,Rgs4,5,2
103,Plac9,5,3
104,Gucy1b3,5,4
105,Cox4i2,5,5
106,Mfge8,5,6
107,Calm2,5,7
108,Gucy1a3,5,8
109,Ppp1r14a,5,9
110,Map1lc3a,5,10
111,Itga7,5,11
112,Notch3,5,12
113,Sparcl1,5,13
114,Tpm2,5,14
115,C1s,5,15
116,Aspn,5,16
117,Mustn1,5,17
118,Filip1l,5,18
119,Rock1,5,19
