,gene,cluster,rank
0,Fabp4,0,0
1,Cd36,0,1
2,Ly6c1,0,2
3,Cdh5,0,3
4,Ly6a,0,4
5,Cav1,0,5
6,Egfl7,0,6
7,Gpihbp1,0,7
8,Sdpr,0,8
9,Tspan13,0,9
10,Slc9a3r2,0,10
11,Gng11,0,11
12,Cav2,0,12
13,Mgll,0,13
14,1190002H23Rik,0,14
15,Cd300lg,0,15
16,Lims2,0,16
17,Ptprb,0,17
18,Ly6e,0,18
19,Tcf15,0,19
20,Plac9,1,0
21,Gsn,1,1
22,Col3a1,1,2
23,Bgn,1,3
24,Col1a2,1,4
25,Lhfp,1,5
26,Ccdc80,1,6
27,Serping1,1,7
28,Rarres2,1,8
29,Mgp,1,9
30,Cygb,1,10
31,Dpt,1,11
32,Lum,1,12
33,Cd63,1,13
34,S100a6,1,14
35,Fbln1,1,15
36,Sdc2,1,16
37,Dcn,1,17
38,Timp2,1,18
39,Htra3,1,19
40,Tnni3,2,0
41,Myl4,2,1
42,Cox6a2,2,2
43,Actc1,2,3
44,Nppa,2,4
45,Tnnt2,2,5
46,Sln,2,6
47,Tpm1,2,7
48,Fabp3,2,8
49,Myl7,2,9
50,Mb,2,10
51,Cox8b,2,11
52,Smpx,2,12
53,Atp5g1,2,13
54,Cox7a1,2,14
55,Chchd10,2,15
56,Csrp3,2,16
57,Uqcr11,2,17
58,Tnnc1,2,18
59,Mdh1,2,19
60,Lyz2,3,0
61,Ftl1,3,1
62,Lyz1,3,2
63,Ccl6,3,3
64,Tyrobp,3,4
65,Trf,3,5
66,Gm11428,3,6
67,Alox5ap,3,7
68,Fcer1g,3,8
69,Cd74,3,9
70,Lst1,3,10
71,C1qb,3,11
72,Laptm5,3,12
73,C1qc,3,13
74,Csf1r,3,14
75,Lcp1,3,15
76,Ctss,3,16
77,Cd68,3,17
78,Gpx1,3,18
79,Fcgr3,3,19
80,Ptprcap,4,0
81,Rpl13a,4,1
82,Ltb,4,2
83,Rps15a,4,3
84,Rac2,4,4
85,Coro1a,4,5
86,Rps27,4,6
87,Cd52,4,7
88,Uba52,4,8
89,Rplp2,4,9
90,Rpl37a,4,10
91,Rpl27,4,11
92,Shisa5,4,12
93,Rps7,4,13
94,Rps16,4,14
95,Rps24,4,15
96,Rps13,4,16
97,Rps18,4,17
98,Tmsb10,4,18
99,Rps11,4,19
100,Npr3,5,0
101,Tm4sf1,5,1
102,Fabp5,5,2
103,Cytl1,5,3
104,Eng,5,4
105,Cpe,5,5
106,Cgnl1,5,6
107,Rn45s,5,7
108,Vim,5,8
109,Aplp2,5,9
110,Cfh,5,10
111,Bace2,5,11
112,Trim47,5,12
113,Ctsh,5,13
114,Emcn,5,14
115,Ece1,5,15
116,Ptgs1,5,16
117,Cd9,5,17
118,Comp,5,18
119,Rbp1,5,19
