,gene,cluster,rank
0,Fabp4,0,0
1,Cd36,0,1
2,Ly6c1,0,2
3,Cdh5,0,3
4,Ly6a,0,4
5,Cav1,0,5
6,Egfl7,0,6
7,Gpihbp1,0,7
8,Sdpr,0,8
9,Tspan13,0,9
10,Slc9a3r2,0,10
11,Gng11,0,11
12,Cav2,0,12
13,Mgll,0,13
14,1190002H23Rik,0,14
15,Cd300lg,0,15
16,Lims2,0,16
17,Ptprb,0,17
18,Ly6e,0,18
19,Tcf15,0,19
20,Plac9,1,0
21,Gsn,1,1
22,Col3a1,1,2
23,Bgn,1,3
24,Col1a2,1,4
25,Lhfp,1,5
26,Ccdc80,1,6
27,Serping1,1,7
28,Rarres2,1,8
29,Mgp,1,9
30,Cygb,1,10
31,Dpt,1,11
32,Lum,1,12
33,Cd63,1,13
34,S100a6,1,14
35,Fbln1,1,15
36,Sdc2,1,16
37,Dcn,1,17
38,Timp2,1,18
39,Htra3,1,19
40,Cd52,2,0
41,Laptm5,2,1
42,Coro1a,2,2
43,Rac2,2,3
44,Cd53,2,4
45,Sh3bgrl3,2,5
46,Pfn1,2,6
47,Lcp1,2,7
48,Ptprc,2,8
49,Cotl1,2,9
50,Arhgdib,2,10
51,Gmfg,2,11
52,Slfn2,2,12
53,Ptpn18,2,13
54,Cyba,2,14
55,Stk17b,2,15
56,Fau,2,16
57,Lsp1,2,17
58,Cd37,2,18
59,H2-Aa,2,19
60,Tnni3,3,0
61,Myl4,3,1
62,Cox6a2,3,2
63,Actc1,3,3
64,Nppa,3,4
65,Tnnt2,3,5
66,Sln,3,6
67,Tpm1,3,7
68,Fabp3,3,8
69,Myl7,3,9
70,Mb,3,10
71,Cox8b,3,11
72,Smpx,3,12
73,Atp5g1,3,13
74,Cox7a1,3,14
75,Chchd10,3,15
76,Csrp3,3,16
77,Uqcr11,3,17
78,Tnnc1,3,18
79,Mdh1,3,19
80,Npr3,4,0
81,Tm4sf1,4,1
82,Fabp5,4,2
83,Cytl1,4,3
84,Eng,4,4
85,Cpe,4,5
86,Cgnl1,4,6
87,Rn45s,4,7
88,Vim,4,8
89,Aplp2,4,9
90,Cfh,4,10
91,Bace2,4,11
92,Trim47,4,12
93,Ctsh,4,13
94,Emcn,4,14
95,Ece1,4,15
96,Ptgs1,4,16
97,Cd9,4,17
98,Comp,4,18
99,Rbp1,4,19
100,Snca,5,0
101,Beta-s,5,1
102,Alas2,5,2
103,Hbb-b2,5,3
104,Hba-a1,5,4
105,Hba-a2,5,5
106,Hbb-b1,5,6
107,Ube2l6,5,7
108,Mkrn1,5,8
109,Bpgm,5,9
110,Bnip3l,5,10
111,2810453I06Rik,5,11
112,Epb4.1,5,12
113,Fech,5,13
114,Isca1,5,14
115,Isg20,5,15
116,Gabarapl2,5,16
117,Ube2o,5,17
118,Ccndbp1,5,18
119,Fam46c,5,19
